Date,ETH,BTC,BIV,BSV,VB,VV,VXUS
10/14/2016,11.92,638.03,86.76,80.48,118.82,97.59,46.15
10/15/2016,11.95,638.16,N/A,N/A,N/A,N/A,N/A
10/16/2016,11.95,641.92,N/A,N/A,N/A,N/A,N/A
10/17/2016,11.96,639.56,86.94,80.6,118.61,97.3,46.06
10/18/2016,12.54,635.11,87.09,80.62,119.3,97.89,46.61
10/19/2016,12.01,629.79,87.17,80.62,119.81,98.13,46.77
10/20/2016,12.06,628.05,87.06,80.6,119.43,98.04,46.75
10/21/2016,12.05,630.83,87.13,80.6,119.28,97.99,46.69
10/22/2016,12.03,652.75,N/A,N/A,N/A,N/A,N/A
10/23/2016,11.94,651.04,N/A,N/A,N/A,N/A,N/A
10/24/2016,11.92,649.98,86.99,80.58,119.85,98.47,46.74
10/25/2016,11.33,654.3,86.98,80.54,118.87,98.12,46.69
10/26/2016,11.49,674,86.81,80.55,118.08,97.91,46.43
10/27/2016,11.48,691.21,86.61,80.47,116.76,97.64,46.32
10/28/2016,11.13,689.95,86.55,80.51,116.68,97.3,46.27
10/29/2016,10.47,714.28,N/A,N/A,N/A,N/A,N/A
10/30/2016,11.19,697.41,N/A,N/A,N/A,N/A,N/A
10/31/2016,10.98,696.9,86.65,80.52,117.22,97.36,46.31
11/1/2016,10.84,730.7,86.41,80.44,115.88,96.68,46.13
11/2/2016,10.83,744.6,86.64,80.48,114.58,96.04,45.74
11/3/2016,10.87,690,86.58,80.57,114.17,95.63,45.7
11/4/2016,11.15,706.32,86.72,80.62,114.59,95.54,45.26
11/5/2016,11.16,706.99,N/A,N/A,N/A,N/A,N/A
11/6/2016,11.01,717.02,N/A,N/A,N/A,N/A,N/A
11/7/2016,10.93,706.42,86.51,80.54,117.1,97.59,46.12
11/8/2016,10.84,711.15,86.29,80.44,117.42,98.08,46.27
11/9/2016,10.62,720.97,85.27,80.18,120.04,99.15,45.96
11/10/2016,10.51,712.91,84.94,80.09,120.9,99.31,45.66
11/11/2016,10.29,716.9,84.75,80.1,122.64,99.2,45.19
11/12/2016,9.95,704.53,N/A,N/A,N/A,N/A,N/A
11/13/2016,10.14,704.01,N/A,N/A,N/A,N/A,N/A
11/14/2016,10.02,708.32,84.3,79.92,124.52,99.21,44.91
11/15/2016,10.27,712.29,84.41,79.91,125.1,99.97,45.35
11/16/2016,10,739.85,84.42,79.89,124.99,99.87,44.88
11/17/2016,9.91,730.71,84.1,79.78,125.66,100.36,45.16
11/18/2016,9.51,748.54,83.78,79.69,125.78,100.13,44.78
11/19/2016,9.68,750.77,N/A,N/A,N/A,N/A,N/A
11/20/2016,9.6,731.99,N/A,N/A,N/A,N/A,N/A
11/21/2016,9.54,736.4,83.79,79.71,126.62,100.89,45.18
11/22/2016,9.87,746.66,83.9,79.73,127.56,101.09,45.4
11/23/2016,9.8,741.52,83.59,79.62,128.27,101.15,45.19
11/24/2016,9.18,737.99,N/A,N/A,N/A,N/A,N/A
11/25/2016,9.4,739.74,83.61,79.63,128.7,101.52,45.37
11/26/2016,9.33,735.7,N/A,N/A,N/A,N/A,N/A
11/27/2016,8.98,729.24,N/A,N/A,N/A,N/A,N/A
11/28/2016,8.67,729.77,83.9,79.68,127.42,101.07,45.2
11/29/2016,8.14,732.37,83.98,79.7,127.46,101.22,45.42
11/30/2016,8.61,742.69,83.62,79.61,127.26,100.97,45.38
12/1/2016,8.45,754,83.08,79.44,126.71,100.58,45.26
12/2/2016,7.73,769.25,83.41,79.53,126.87,100.58,45.38
12/3/2016,7.86,766.98,N/A,N/A,N/A,N/A,N/A
12/4/2016,7.37,767.99,N/A,N/A,N/A,N/A,N/A
12/5/2016,6.75,752,83.41,79.52,128.53,101.21,45.74
12/6/2016,7.83,759.8,83.5,79.58,129.81,101.58,45.98
12/7/2016,8.35,764.34,83.82,79.66,131.11,102.89,46.64
12/8/2016,8.2,767.89,83.53,79.6,132.66,103.17,46.67
12/9/2016,8.47,773.22,83.26,79.57,132.57,103.72,46.81
12/10/2016,8.14,775.87,N/A,N/A,N/A,N/A,N/A
12/11/2016,8.23,771.05,N/A,N/A,N/A,N/A,N/A
12/12/2016,8.5,778.94,83.26,79.57,131.38,103.6,46.54
12/13/2016,8.41,776.18,83.28,79.51,131.55,104.28,47
12/14/2016,8.24,777.66,82.71,79.27,129.77,103.47,46.15
12/15/2016,7.83,776.16,82.43,79.22,130.46,103.85,46.12
12/16/2016,7.84,780.98,82.48,79.24,130.26,103.67,46.03
12/17/2016,7.85,788.57,N/A,N/A,N/A,N/A,N/A
12/18/2016,7.92,790.72,N/A,N/A,N/A,N/A,N/A
12/19/2016,7.64,790.81,82.86,79.33,131.09,103.89,45.98
12/20/2016,7.64,798.99,82.69,79.34,131.94,104.26,45.73
12/21/2016,7.91,834.5,82.87,79.37,131.32,104.04,45.66
12/22/2016,7.55,856.02,82.37,79.22,129.56,103.24,45.44
12/23/2016,7.13,917.26,82.45,79.25,130.12,103.39,45.57
12/24/2016,7.22,891.5,N/A,N/A,N/A,N/A,N/A
12/25/2016,7.19,896.12,N/A,N/A,N/A,N/A,N/A
12/26/2016,7.26,902.09,N/A,N/A,N/A,N/A,N/A
12/27/2016,7.16,925.2,82.25,79.23,130.59,103.6,45.58
12/28/2016,7.62,982.17,82.54,79.29,129.13,102.75,45.55
12/29/2016,8.29,970.72,82.8,79.44,129.47,102.77,45.8
12/30/2016,8.21,960.81,83.07,79.45,128.96,102.37,45.88
12/31/2016,8.16,973.37,N/A,N/A,N/A,N/A,N/A
1/1/2017,8.18,992.95,N/A,N/A,N/A,N/A,N/A
1/2/2017,8.38,1011.45,N/A,N/A,N/A,N/A,N/A
1/3/2017,9.59,1020.67,83.01,79.46,129.71,103.09,46.21
1/4/2017,11.17,1130.3,83.09,79.46,131.88,103.8,46.72
1/5/2017,10.23,1007,83.48,79.58,130.83,103.74,47.07
1/6/2017,10.14,895.71,83.2,79.49,130.65,104.13,46.97
1/7/2017,9.92,909,N/A,N/A,N/A,N/A,N/A
1/8/2017,10.5,923.33,N/A,N/A,N/A,N/A,N/A
1/9/2017,10.39,902.66,83.41,79.58,129.87,103.78,46.88
1/10/2017,10.63,907,83.43,79.55,130.82,103.83,46.96
1/11/2017,9.95,795.77,83.48,79.59,131.19,104.09,47.31
1/12/2017,9.8,812.25,83.52,79.63,130.48,103.86,47.38
1/13/2017,9.84,831.42,83.38,79.6,131.3,104.05,47.52
1/14/2017,9.86,828,N/A,N/A,N/A,N/A,N/A
1/15/2017,9.9,833.31,N/A,N/A,N/A,N/A,N/A
1/16/2017,9.66,834.41,N/A,N/A,N/A,N/A,N/A
1/17/2017,10.34,906,83.76,79.73,129.94,103.74,47.4
1/18/2017,10.23,887.99,83.26,79.56,130.52,103.91,47.15
1/19/2017,10.42,902.92,83.04,79.49,129.55,103.62,47.11
1/20/2017,10.62,894.31,83.16,79.58,130.17,103.92,47.3
1/21/2017,10.93,925.06,N/A,N/A,N/A,N/A,N/A
1/22/2017,10.77,931.22,N/A,N/A,N/A,N/A,N/A
1/23/2017,10.8,910.7,83.45,79.71,129.75,103.68,47.52
1/24/2017,10.57,887,83.23,79.65,131.6,104.37,47.71
1/25/2017,10.55,896,82.9,79.55,132.66,105.24,48.21
1/26/2017,10.6,917.02,83.01,79.59,132.31,105.13,48.06
1/27/2017,10.55,922.63,83.1,79.62,131.65,105.01,47.95
1/28/2017,10.58,924.98,N/A,N/A,N/A,N/A,N/A
1/29/2017,10.49,916.54,N/A,N/A,N/A,N/A,N/A
1/30/2017,10.6,923.23,83.04,79.63,130.19,104.4,47.64
1/31/2017,10.7,970.01,83.34,79.68,130.93,104.36,47.75
2/1/2017,10.72,992.75,83.01,79.55,130.68,104.4,47.91
2/2/2017,10.82,1008.38,83.05,79.59,130.68,104.46,47.97
2/3/2017,10.99,1018,83.13,79.56,132.4,105.22,48.19
2/4/2017,11.41,1035.54,N/A,N/A,N/A,N/A,N/A
2/5/2017,11.26,1016.32,N/A,N/A,N/A,N/A,N/A
2/6/2017,11.34,1022.58,83.46,79.7,131.63,105.05,47.91
2/7/2017,11.51,1053.96,83.55,79.72,131.15,105.04,47.86
2/8/2017,11.41,1056.7,83.84,79.81,131.17,105.21,48.01
2/9/2017,11.02,994.24,83.46,79.72,132.66,105.79,48.14
2/10/2017,11.43,1001.99,83.42,79.67,133.54,106.21,48.4
2/11/2017,11.52,1018.65,N/A,N/A,N/A,N/A,N/A
2/12/2017,11.5,1010,N/A,N/A,N/A,N/A,N/A
2/13/2017,11.43,1002.82,83.32,79.64,133.89,106.79,48.59
2/14/2017,13.14,1013.92,83.07,79.57,134.3,107.21,48.55
2/15/2017,12.98,1014.53,82.95,79.51,134.94,107.78,48.82
2/16/2017,12.89,1038.94,83.19,79.61,134.6,107.65,48.86
2/17/2017,12.75,1057.3,83.41,79.69,134.72,107.82,48.65
2/18/2017,12.89,1062.15,N/A,N/A,N/A,N/A,N/A
2/19/2017,12.9,1059.88,N/A,N/A,N/A,N/A,N/A
2/20/2017,12.61,1089.82,N/A,N/A,N/A,N/A,N/A
2/21/2017,12.83,1128.29,83.39,79.69,135.84,108.46,48.93
2/22/2017,12.75,1128.71,83.52,79.74,135.18,108.4,48.94
2/23/2017,13.21,1186.9,83.68,79.79,134.5,108.44,48.99
2/24/2017,13.2,1186.91,84.04,79.92,134.54,108.61,48.6
2/25/2017,13.65,1158,N/A,N/A,N/A,N/A,N/A
2/26/2017,14.74,1184.91,N/A,N/A,N/A,N/A,N/A
2/27/2017,15.66,1195.81,83.78,79.8,135.66,108.77,48.56
2/28/2017,16.4,1195.08,83.78,79.73,133.97,108.5,48.39
3/1/2017,17.37,1230,83.22,79.49,136.14,109.93,48.95
3/2/2017,19.27,1269.17,83.01,79.43,134.66,109.3,48.53
3/3/2017,19.68,1292.86,83.07,79.48,134.72,109.35,48.77
3/4/2017,18.65,1273.97,N/A,N/A,N/A,N/A,N/A
3/5/2017,19.4,1278.98,N/A,N/A,N/A,N/A,N/A
3/6/2017,19.68,1284.99,83.03,79.47,133.83,109.01,48.65
3/7/2017,18.96,1237.36,82.86,79.42,132.95,108.65,48.54
3/8/2017,16.68,1150.22,82.58,79.35,132.15,108.48,48.25
3/9/2017,17.82,1197.3,82.36,79.29,131.63,108.58,48.31
3/10/2017,19.2,1109.01,82.54,79.34,132.1,108.94,48.76
3/11/2017,21.64,1188.11,N/A,N/A,N/A,N/A,N/A
3/12/2017,23.39,1235.58,N/A,N/A,N/A,N/A,N/A
3/13/2017,28.64,1245.49,82.31,79.3,132.46,109.06,49.03
3/14/2017,28.69,1247.42,82.4,79.27,131.86,108.65,48.69
3/15/2017,35.65,1263,83.06,79.49,133.84,109.58,49.48
3/16/2017,45.96,1175.11,82.87,79.44,133.77,109.41,49.77
3/17/2017,44.62,1069.57,83.05,79.5,133.98,109.25,49.76
3/18/2017,33.64,970,N/A,N/A,N/A,N/A,N/A
3/19/2017,43.21,1019.49,N/A,N/A,N/A,N/A,N/A
3/20/2017,42.31,1044.96,83.21,79.55,133.47,109.05,49.86
3/21/2017,42.36,1114.42,83.41,79.65,130.53,107.66,49.51
3/22/2017,41.37,1034.57,83.55,79.68,130.57,107.86,49.6
3/23/2017,42.99,1025.14,83.46,79.66,130.97,107.76,49.71
3/24/2017,52.93,934.87,83.48,79.63,130.63,107.21,49.73
3/25/2017,50.5,963.72,N/A,N/A,N/A,N/A,N/A
3/26/2017,50.73,973.08,N/A,N/A,N/A,N/A,N/A
3/27/2017,48.97,1042.08,83.68,79.69,130.66,107.08,49.8
3/28/2017,50.3,1045.4,83.47,79.61,131.76,107.9,49.96
3/29/2017,53.1,1043.27,83.7,79.69,132.33,108.01,50.02
3/30/2017,51.88,1042.34,83.46,79.68,133.02,108.35,49.82
3/31/2017,50.18,1088.99,83.61,79.72,133.28,108.09,49.68
4/1/2017,50.71,1092,N/A,N/A,N/A,N/A,N/A
4/2/2017,48.74,1113.99,N/A,N/A,N/A,N/A,N/A
4/3/2017,44.25,1152.6,83.75,79.74,132.19,107.92,49.67
4/4/2017,44.47,1143.99,83.75,79.7,132.12,107.97,49.71
4/5/2017,44.78,1132.99,83.88,79.73,130.88,107.64,49.49
4/6/2017,43.3,1192.3,83.85,79.73,132.03,107.91,49.49
4/7/2017,42.32,1194,83.57,79.63,131.93,107.84,49.44
4/8/2017,44.45,1184.5,N/A,N/A,N/A,N/A,N/A
4/9/2017,43.92,1210.97,N/A,N/A,N/A,N/A,N/A
4/10/2017,43.92,1210,83.75,79.68,132.34,107.89,49.4
4/11/2017,43.83,1223.99,84.09,79.79,133.09,107.81,49.54
4/12/2017,46.48,1214.17,84.32,79.87,131.51,107.38,49.55
4/13/2017,49.77,1177.05,84.38,79.88,130.2,106.65,49.27
4/14/2017,47.2,1173.74,N/A,N/A,N/A,N/A,N/A
4/15/2017,48.94,1178.85,N/A,N/A,N/A,N/A,N/A
4/16/2017,48.13,1177.99,N/A,N/A,N/A,N/A,N/A
4/17/2017,47.94,1189.91,84.4,79.9,131.75,107.56,49.67
4/18/2017,49.79,1201.94,84.71,80.02,131.74,107.27,49.33
4/19/2017,47.78,1214.21,84.54,80.01,132.02,107.12,49.11
4/20/2017,49.38,1236.15,84.47,79.93,133.38,107.93,49.56
4/21/2017,48.37,1249.99,84.51,79.97,133.09,107.61,49.54
4/22/2017,48.61,1247,N/A,N/A,N/A,N/A,N/A
4/23/2017,48.96,1251.98,N/A,N/A,N/A,N/A,N/A
4/24/2017,50.12,1257.29,84.4,79.93,134.43,108.79,50.59
4/25/2017,50.31,1281.16,84.05,79.81,135.44,109.47,50.89
4/26/2017,53.42,1298.44,84.19,79.88,135.7,109.39,50.77
4/27/2017,63.67,1349.26,84.31,79.91,135.77,109.49,50.7
4/28/2017,73.14,1353.34,84.39,79.94,134.42,109.29,50.7
4/29/2017,70.4,1365.43,N/A,N/A,N/A,N/A,N/A
4/30/2017,80.87,1384.55,N/A,N/A,N/A,N/A,N/A
5/1/2017,79.35,1436.5,84.11,79.77,134.92,109.5,50.93
5/2/2017,77.55,1471.99,84.26,79.84,134.58,109.55,51.23
5/3/2017,81.29,1533,84.05,79.73,133.85,109.4,51.08
5/4/2017,95.97,1563.39,83.92,79.71,133.49,109.48,51.21
5/5/2017,91.93,1551.3,83.92,79.73,134.64,109.97,51.7
5/6/2017,95.84,1585.39,N/A,N/A,N/A,N/A,N/A
5/7/2017,93.82,1609.57,N/A,N/A,N/A,N/A,N/A
5/8/2017,89.25,1713,83.8,79.7,134.01,109.9,51.43
5/9/2017,86.58,1720.43,83.75,79.66,133.78,109.85,51.4
5/10/2017,88.36,1794.99,83.79,79.67,134.6,110,51.57
5/11/2017,88.3,1837.93,83.81,79.7,133.81,109.77,51.46
5/12/2017,85.17,1695.61,84.21,79.82,133.16,109.61,51.73
5/13/2017,88.42,1792.73,N/A,N/A,N/A,N/A,N/A
5/14/2017,89.39,1799.99,N/A,N/A,N/A,N/A,N/A
5/15/2017,91,1747.81,84.18,79.82,134.17,110.16,52.09
5/16/2017,87.98,1777.48,84.29,79.83,134.01,110.11,52.29
5/17/2017,86.88,1813.23,84.8,80.01,131.1,108.18,51.6
5/18/2017,96.2,1899.16,84.7,79.95,131.44,108.57,51.48
5/19/2017,125.14,1976.23,84.71,79.95,132.33,109.31,52.19
5/20/2017,123.63,2058.91,N/A,N/A,N/A,N/A,N/A
5/21/2017,148.78,2057,N/A,N/A,N/A,N/A,N/A
5/22/2017,160.1,2123.29,84.69,79.96,133.35,109.88,52.26
5/23/2017,169.95,2272.75,84.45,79.91,133.47,110.09,52.26
5/24/2017,196.06,2432.97,84.66,79.97,133.86,110.36,52.36
5/25/2017,181.51,2355,84.67,79.96,133.92,110.88,52.38
5/26/2017,163.8,2272.7,84.64,79.97,133.82,110.92,52.33
5/27/2017,159.91,2099.99,N/A,N/A,N/A,N/A,N/A
5/28/2017,175.48,2232.78,N/A,N/A,N/A,N/A,N/A
5/29/2017,194.82,2279.48,N/A,N/A,N/A,N/A,N/A
5/30/2017,228.69,2191.58,84.86,80.01,132.89,110.8,52.22
5/31/2017,229.14,2303.29,84.91,80.03,132.93,110.8,52.2
6/1/2017,221.91,2419.99,84.72,79.91,135.02,111.68,52.59
6/2/2017,222.04,2478.99,84.97,79.95,135.52,112.06,53.04
6/3/2017,224.95,2548.05,N/A,N/A,N/A,N/A,N/A
6/4/2017,245.5,2521.36,N/A,N/A,N/A,N/A,N/A
6/5/2017,248,2698,84.88,79.92,134.88,111.99,52.83
6/6/2017,264.22,2871.29,85.15,79.99,134.5,111.66,52.72
6/7/2017,255.68,2685.64,85.02,79.93,134.4,111.85,52.74
6/8/2017,258.64,2799.73,84.88,79.89,135.64,111.88,52.69
6/9/2017,279.38,2811.39,84.84,79.86,135.99,111.76,52.45
6/10/2017,340.2,2931.15,N/A,N/A,N/A,N/A,N/A
6/11/2017,343.01,2998.98,N/A,N/A,N/A,N/A,N/A
6/12/2017,397.37,2655.71,84.78,79.87,136.01,111.71,52.27
6/13/2017,388,2709.01,84.86,79.86,136.99,112.22,52.7
6/14/2017,341.7,2432.21,85.22,79.94,136.24,112.14,52.63
6/15/2017,343.71,2409.98,85,79.91,135.65,111.91,52.11
6/16/2017,354.26,2480.43,85.14,79.96,135.49,111.93,52.48
6/17/2017,368.98,2634.94,N/A,N/A,N/A,N/A,N/A
6/18/2017,351.85,2515.25,N/A,N/A,N/A,N/A,N/A
6/19/2017,358.71,2596.98,84.88,79.87,136.5,112.8,52.71
6/20/2017,350.94,2725.08,85.02,79.92,135.22,112.07,52.2
6/21/2017,325.41,2643.35,85.08,79.91,134.4,111.6,51.56
6/22/2017,320.02,2679.99,85.12,79.94,134.7,111.53,51.74
6/23/2017,326.99,2690.76,85.14,79.97,135.49,111.69,51.87
6/24/2017,304.5,2574.84,N/A,N/A,N/A,N/A,N/A
6/25/2017,278.49,2505.61,N/A,N/A,N/A,N/A,N/A
6/26/2017,252.99,2407.91,85.22,79.97,135.94,111.78,52.02
6/27/2017,287.23,2575.75,84.88,79.87,134.72,110.87,51.9
6/28/2017,315.32,2553.12,84.89,79.94,136.45,111.81,52.4
6/29/2017,292.95,2530,84.67,79.87,135.45,110.87,51.86
6/30/2017,280.04,2455.19,84.53,79.85,135.54,111.02,51.97
7/1/2017,263.12,2423.63,N/A,N/A,N/A,N/A,N/A
7/2/2017,285,2516.66,N/A,N/A,N/A,N/A,N/A
7/3/2017,276.37,2542.41,84.05,79.68,136.49,111.31,52.01
7/4/2017,269.2,2602,N/A,N/A,N/A,N/A,N/A
7/5/2017,266.27,2616.96,84.24,79.69,136.05,111.45,51.97
7/6/2017,266.01,2604.84,84.01,79.68,134.15,110.47,51.66
7/7/2017,241.28,2501.15,83.96,79.69,135.46,111.15,51.72
7/8/2017,246.64,2561.11,N/A,N/A,N/A,N/A,N/A
7/9/2017,238.81,2508.99,N/A,N/A,N/A,N/A,N/A
7/10/2017,202.86,2331.05,84.09,79.73,134.98,111.3,51.88
7/11/2017,190.57,2310.01,84.2,79.78,135.32,111.21,52.06
7/12/2017,224.04,2383.42,84.46,79.85,136.33,112.05,52.56
7/13/2017,205,2340,84.34,79.82,136.53,112.25,52.76
7/14/2017,197.23,2217.24,84.56,79.87,136.98,112.73,53.23
7/15/2017,167.72,1964.31,N/A,N/A,N/A,N/A,N/A
7/16/2017,155.68,1911.78,N/A,N/A,N/A,N/A,N/A
7/17/2017,190.87,2235.19,84.65,79.88,137.29,112.75,53.03
7/18/2017,227.01,2308.15,84.84,79.9,136.96,112.83,53.17
7/19/2017,194.74,2258.99,84.83,79.89,138.37,113.4,53.45
7/20/2017,226.06,2873.48,84.9,79.91,138.37,113.48,53.65
7/21/2017,216.6,2657.45,85.05,79.99,137.84,113.36,53.42
7/22/2017,230.69,2825.27,N/A,N/A,N/A,N/A,N/A
7/23/2017,228.31,2754.28,N/A,N/A,N/A,N/A,N/A
7/24/2017,225.96,2762.26,84.92,79.94,138.13,113.34,53.42
7/25/2017,203.78,2564,84.58,79.83,139.25,113.63,53.48
7/26/2017,203.23,2525.99,84.8,79.96,138.54,113.61,53.77
7/27/2017,202.94,2664.99,84.73,79.97,137.81,113.5,53.62
7/28/2017,190.72,2786.07,84.87,80.01,137.37,113.36,53.62
7/29/2017,205.9,2700.21,N/A,N/A,N/A,N/A,N/A
7/30/2017,196.95,2723.99,N/A,N/A,N/A,N/A,N/A
7/31/2017,200.82,2856.88,84.89,80.02,137.15,113.32,53.72
8/1/2017,225.73,2732.59,84.89,79.94,137.47,113.54,54.06
8/2/2017,217.92,2699.9,84.86,79.92,136.28,113.58,54.05
8/3/2017,224,2787.02,85.04,79.98,135.76,113.39,53.96
8/4/2017,220.72,2857.34,84.81,79.92,136.33,113.62,54.06
8/5/2017,251.85,3243.49,N/A,N/A,N/A,N/A,N/A
8/6/2017,263.96,3222.22,N/A,N/A,N/A,N/A,N/A
8/7/2017,269.9,3398.23,84.86,79.92,136.4,113.79,54.12
8/8/2017,295.95,3422.43,84.7,79.91,136.09,113.53,53.92
8/9/2017,295.26,3342.8,84.79,79.94,135.02,113.5,53.76
8/10/2017,300.51,3444.98,85.01,79.99,132.79,111.93,52.9
8/11/2017,309.65,3656.15,85.11,80.05,133.13,112.07,52.91
8/12/2017,308.35,3874,N/A,N/A,N/A,N/A,N/A
8/13/2017,296.66,4060.47,N/A,N/A,N/A,N/A,N/A
8/14/2017,299.16,4320.6,84.95,80.02,134.68,113.15,53.31
8/15/2017,286.71,4159.93,84.79,79.94,133.9,113.15,53.2
8/16/2017,300.45,4370.01,84.95,79.99,134.24,113.35,53.59
8/17/2017,300.67,4280.01,85.09,80.05,131.95,111.6,52.94
8/18/2017,292.87,4101.72,85.01,80.04,131.83,111.4,53.12
8/19/2017,293.58,4157.41,N/A,N/A,N/A,N/A,N/A
8/20/2017,297.79,4050.99,N/A,N/A,N/A,N/A,N/A
8/21/2017,322,4002,85.1,80.06,131.81,111.53,53.23
8/22/2017,314.19,4092,85.04,80.04,133.08,112.69,53.44
8/23/2017,317.5,4143.49,85.28,80.11,132.86,112.29,53.53
8/24/2017,324.56,4312.03,85.18,80.04,133.05,112.12,53.54
8/25/2017,330.14,4360,85.27,80.09,133.44,112.31,53.88
8/26/2017,332.99,4344.32,N/A,N/A,N/A,N/A,N/A
8/27/2017,348.2,4340.11,N/A,N/A,N/A,N/A,N/A
8/28/2017,347.54,4384.99,85.41,80.12,133.59,112.32,53.85
8/29/2017,372.48,4599,85.52,80.19,133.48,112.42,53.63
8/30/2017,384.1,4581.98,85.49,80.15,134.53,112.98,53.6
8/31/2017,389.2,4743.94,85.61,80.18,135.87,113.64,54.01
9/1/2017,392.87,4947.99,85.2,80.03,136.42,113.88,54.16
9/2/2017,354.87,4649.99,N/A,N/A,N/A,N/A,N/A
9/3/2017,353.06,4626.05,N/A,N/A,N/A,N/A,N/A
9/4/2017,316.86,4498.25,N/A,N/A,N/A,N/A,N/A
9/5/2017,320.08,4432.51,85.62,80.12,135.15,113.06,53.75
9/6/2017,339.38,4616.18,85.43,80.12,135.4,113.42,54.13
9/7/2017,335.56,4624.18,85.8,80.21,135.04,113.39,54.54
9/8/2017,307.96,4350,85.69,80.19,135.16,113.25,54.49
9/9/2017,304.99,4334.36,N/A,N/A,N/A,N/A,N/A
9/10/2017,300.33,4251.36,N/A,N/A,N/A,N/A,N/A
9/11/2017,298.47,4210.72,85.32,80.1,136.61,114.48,54.96
9/12/2017,294.5,4164.52,85.23,80.06,137.56,114.9,54.99
9/13/2017,275.71,3855.32,85.08,80,137.54,114.95,54.74
9/14/2017,223.85,3250.4,85.12,80,137.4,114.93,54.86
9/15/2017,260.88,3740.02,85.08,79.95,137.87,115.09,55
9/16/2017,255.84,3726.51,N/A,N/A,N/A,N/A,N/A
9/17/2017,259.66,3719.97,N/A,N/A,N/A,N/A,N/A
9/18/2017,298,4100,84.99,79.93,138.63,115.3,55.09
9/19/2017,282.8,3910.11,84.94,79.9,138.47,115.44,55.28
9/20/2017,283.55,3872.06,84.79,79.84,138.6,114.89,54.89
9/21/2017,258.11,3617.47,84.74,79.81,138.27,114.57,54.79
9/22/2017,263.88,3619.01,84.8,79.83,138.73,114.58,54.84
9/23/2017,286.03,3787.33,N/A,N/A,N/A,N/A,N/A
9/24/2017,283.21,3669.01,N/A,N/A,N/A,N/A,N/A
9/25/2017,294.41,3919.78,85.05,79.93,138.83,114.38,54.49
9/26/2017,288.77,3885.09,85.01,79.91,139.03,114.41,54.34
9/27/2017,309.85,4200,84.73,79.86,140.68,114.85,54.29
9/28/2017,302.33,4189.42,84.74,79.9,140.98,115.02,54.42
9/29/2017,291.88,4156.99,84.66,79.82,141.32,115.4,54.73
9/30/2017,301.57,4339,N/A,N/A,N/A,N/A,N/A
10/1/2017,303.25,4394.81,N/A,N/A,N/A,N/A,N/A
10/2/2017,296.72,4392.71,84.52,79.7,142.69,115.91,54.73
10/3/2017,292.36,4307.99,84.61,79.72,142.99,116.19,55.04
10/4/2017,292,4214.84,84.65,79.77,142.88,116.33,55
10/5/2017,294.89,4320.04,84.54,79.74,143.25,117,55.02
10/6/2017,307.73,4362.99,84.41,79.69,143.06,116.91,54.95
10/7/2017,311.12,4425,N/A,N/A,N/A,N/A,N/A
10/8/2017,309.2,4603.49,N/A,N/A,N/A,N/A,N/A
10/9/2017,297,4769.55,84.48,79.73,142.6,116.68,54.94
10/10/2017,297.99,4750,84.55,79.77,142.77,116.95,55.42
10/11/2017,302,4814.99,84.62,79.74,142.79,117.17,55.67
10/12/2017,302.12,5440,84.62,79.72,142.85,116.97,55.62
10/13/2017,335.89,5624.8,84.84,79.78,142.77,117.11,55.99
10/14/2017,338.37,5819.13,N/A,N/A,N/A,N/A,N/A
10/15/2017,336.89,5693.7,N/A,N/A,N/A,N/A,N/A
10/16/2017,334.36,5754.9,84.77,79.74,142.74,117.27,55.93
10/17/2017,316.37,5594,84.76,79.72,142.54,117.36,55.78
10/18/2017,313.59,5574.44,84.58,79.68,142.93,117.45,55.92
10/19/2017,308.02,5704.01,84.66,79.71,142.81,117.51,55.69
10/20/2017,303.15,5989.1,84.4,79.65,143.6,118.11,55.66
10/21/2017,300,6024.86,N/A,N/A,N/A,N/A,N/A
10/22/2017,295.14,6005.05,N/A,N/A,N/A,N/A,N/A
10/23/2017,285.83,5905.99,84.49,79.68,142.72,117.69,55.51
